year,fail,yearfail,LnFD,TBTA,TBEBITDA,CLCA,CLTL,TLTA,BETL,IESL,LnCA,LnTA,LnTAGDP,LABOR,TAGR,SLGR,NIGR,RETA,ROIC,EBITTA,EBITSL,EBITFC,EBITDATL,EBITDAFC,IBITSL,NITA,ROE,CASHTA,WCTA,QACL,CFOTA,CFOTB,CFOTL,GCFTB,SLTA,LnSLTA
101,0,1010,-0.754132374,1.560553558,0.06229963,-0.131948977,0.707338669,1.233367187,-0.881249724,1.620006653,-0.710908735,-0.993535453,-0.884684791,-1.138686359,-0.01944865,0.120719374,0.400244256,-0.400973945,0.361762889,0.614431381,0.752678069,-0.354523529,-0.021488901,-0.372329806,0.457775211,0.248656928,0.515386432,3.148481174,-0.305260177,-0.011565954,0.142634626,-0.295632842,-0.127201876,0.252256486,-0.528927377,-0.317652319
101,0,1010,0.018375967,2.125076026,0.496316122,0.151414799,0.193808074,1.470858485,-0.966503916,0.003765953,-0.076188906,-0.220445801,-0.096534998,0.238219492,1.049249532,0.338940017,0.169209697,-0.418977563,0.051595999,0.127268944,0.141888386,-0.3151196,-0.320898894,-0.33983718,0.049603892,-0.017981687,0.163161823,0.371963672,-0.77538308,-0.765081765,-1.579297633,-0.710558736,-1.18252708,0.156212078,-0.211385512,0.06369262
101,0,1010,-0.58471632,1.089485722,-0.153332203,-0.499944317,0.010200537,0.878669041,-0.732572816,0.823385381,-0.426037322,-0.740256548,-0.626471896,-0.608600109,0.217263528,-0.200062231,-1.121355608,-0.101626463,0.19749509,1.208193745,1.369634431,-0.236936385,0.408171102,-0.273235274,0.207954377,0.024282733,0.162508793,0.355068442,0.579737459,-0.10087182,-0.196241675,-0.373682124,-0.326879531,-0.108258055,-0.578136754,-0.385566011
101,0,1010,-0.417593725,-0.404372904,-0.330683274,-0.101483373,0.344985675,0.248349809,-0.413435047,-0.155787282,-0.411995723,-0.5107613,-0.392505976,-0.05618256,-0.670773096,0.371550125,0.306368407,0.560731872,0.436381361,1.51811444,0.588804094,-0.16822835,0.823050556,-0.215883515,0.39900807,0.828081953,0.747418199,0.292034674,-0.320641948,-0.476802353,2.267123438,1.198993068,1.80106834,1.103743633,0.577373048,0.745472623
101,0,1010,-0.879207747,1.365084295,-1.957599026,-0.670447191,-0.986377391,0.556522629,-0.591868584,0.759635555,-0.749996025,-0.924060931,-0.813856873,-0.624091759,-0.581071725,-0.25974538,-1.698502955,-0.744713664,-0.340027043,-1.253042827,-0.846501046,-0.497367502,-1.107323216,-0.489896408,-0.632983513,-1.197818001,-0.966325588,1.988456557,0.741827128,0.470594782,0.034627129,-0.316386911,-0.142273439,-0.110213707,-0.171490689,0.105896608
101,0,1010,-0.481294245,0.809145711,0.031490605,-0.652519088,-0.275596488,0.77668268,-0.693541454,0.007776792,-0.258673585,-0.605136466,-0.488719613,-0.243455802,-0.441632216,-0.088257186,-0.765493491,-0.430963303,0.145869999,0.35192037,0.207230919,-0.301451452,-0.074940642,-0.322578874,0.020127913,-0.03427571,0.096721097,0.167868571,1.00891463,0.123736577,-0.932886058,-0.609109008,-0.835922902,-0.433166193,0.000162385,0.276037288
101,1,1011,0.392505583,1.556470331,0.508164249,-0.213222666,0.425912657,1.012353442,-0.79359669,0.355473373,0.465180101,0.189502395,0.321399177,1.081564481,4.289594464,0.577849838,1.73791894,-0.431197789,-0.103391939,-0.070468544,0.967017551,-0.221848705,-0.349167345,-0.24242676,0.177792132,-0.004927713,0.14002822,-0.56801463,-0.121172468,-0.803820468,-0.60331745,-0.492042936,-0.601929217,0.088663454,-1.22533006,-1.716869155
101,0,1010,-1.102302979,0.794038828,0.229094827,-0.920892314,-1.180071321,-0.060608193,-0.213353112,-0.01545803,-0.810788302,-1.04281326,-0.934922552,-0.324005515,0.229274433,-0.619303379,-1.404564511,-0.365686897,-0.116492741,0.046681425,0.530219965,-0.225260392,-0.155665544,-0.257837851,0.038567223,-0.058773176,0.062320328,-0.233152083,1.376636962,0.168249516,-0.926166551,-0.607644555,-0.903673276,-0.583426587,-0.878415594,-0.87488442
101,1,1011,-1.358448773,0.093433957,-0.15237908,-1.02425647,-1.074287469,-0.476492353,0.118083808,0.676330492,-0.943937392,-1.2361711,-1.132047091,-1.251274386,-0.628471306,0.66449636,1.73791894,-0.435136512,0.182957302,0.59156234,0.146890485,-0.372913327,0.388098329,-0.387097861,0.105395435,0.112049749,0.158275421,2.991727098,1.809126193,1.997399879,-0.72557425,-0.566365733,-0.758379928,-0.991871114,0.577155733,0.745318909
101,0,1010,-0.951323655,0.240523043,0.377678277,-0.124462892,-0.050129535,0.259371343,-0.419983843,-0.666899479,-0.983526245,-1.018294836,-0.909926497,-0.572366299,-0.706176529,-0.578200565,-1.698502955,-0.206867994,-0.134207166,-0.320264496,-0.185535109,-0.21458967,-0.401528258,-0.199645845,0.008644808,-0.095557335,0.036533553,-0.252360658,-0.274230179,-0.267468671,-0.193074941,-0.340987727,-0.293011881,0.234075748,-0.191628601,0.084728755
