date,Consumption,Income,Money
1970-12-31,551.1,787.5,299.6
1971-03-31,583.7,820.8,279.1
1971-06-30,623.5,856.4,290.3
1971-09-30,667.4,873.9,308.7
1971-12-31,674,913,288.2
1972-03-31,716.2,968.5,274.1
1972-06-30,761.3,1043.6,276
1972-09-30,795.1,1096,332.4
1972-12-31,804.5,1168.8,427.5
1973-03-31,864.7,1237.9,416.7
1973-06-30,936.7,1316.8,507.4
1973-09-30,989.1,1449.6,550.4
1973-12-31,1032.4,1528.4,624.1
1974-03-31,1192.4,1837.1,625.4
1974-06-30,1343.8,1889.9,600.1
1974-09-30,1420.9,2000.3,691.1
1974-12-31,1466.6,2206.1,775
1975-03-31,1636.7,2350.2,699.2
1975-06-30,1777.9,2560.1,840.3
1975-09-30,1877.2,2667.3,954.8
1975-12-31,1952.1,2880.7,1077
1976-03-31,2170.7,3243.5,1101
1976-06-30,2245.9,3562.1,1064.1
1976-09-30,2401.9,3716,1246.3
1976-12-31,2472.3,3887.2,1437.7
1977-03-31,2600.4,4142.6,1412.1
1977-06-30,2688,4401.1,1414.1
1977-09-30,2884.9,4784.1,1772.8
1977-12-31,3168,5227.2,2071.6
1978-03-31,3329.8,5575.8,2050.6
1978-06-30,3615.7,6013.3,2222.4
1978-09-30,3857.5,6573.6,2506.7
1978-12-31,4150.7,7064.7,2802
1979-03-31,4374,7524.3,2761.6
1979-06-30,4675.4,7849.9,2708.2
1979-09-30,4885,8305.9,3011.7
1979-12-31,5330.8,8665.8,3468
1980-03-31,5573.6,9105.8,2630.7
1980-06-30,5898.9,9509.6,2576.3
1980-09-30,6390.6,10127.8,2756.5
1980-12-31,6843.2,10620.3,3243.9
1981-03-31,7091.2,11190.9,3097.1
1981-06-30,7557.5,11984.9,2988.4
1981-09-30,7906,12599.2,2569.4
1981-12-31,8278.4,13218.1,2801.6
1982-03-31,8247.6,13497.7,2517
1982-06-30,8604.2,14042.6,2702.6
1982-09-30,8873.8,14386.6,3472.4
1982-12-31,9064,14830,3825.3
1983-03-31,9505.4,16087.9,3331.8
1983-06-30,9750.9,16409,3240.1
1983-09-30,9880.7,17268.5,3765.6
1983-12-31,10148,17604.7,4095.2
1984-03-31,10535.5,18452.8,3295.6
1984-06-30,10802,19114.2,3483.3
1984-09-30,11180.8,19908.1,3625.6
1984-12-31,11335.6,20004.5,4248.4
1985-03-31,11512.9,20307.7,3673
1985-06-30,11876.2,21097.9,3612.8
1985-09-30,12445.6,22093.7,4439.6
1985-12-31,12798.2,22697.9,4319
1986-03-31,13029.9,23569.7,3772.2
1986-06-30,13341.7,24392.4,3557.8
1986-09-30,13921.6,25941,4497.2
1986-12-31,14113.7,26869,5016.7
1987-03-31,14624.8,27919.5,4374.7
1987-06-30,15166.5,29471.3,4768.7
1987-09-30,15647.4,30672.3,5109.9
1987-12-31,16246.6,32160.7,7469.2
1988-03-31,16804.6,34559.3,6067.3
1988-06-30,17409.3,34992.1,6850.6
1988-09-30,18026.1,36681,7847.5
1988-12-31,18748.6,38631.5,9728.4
1989-03-31,19452,39047.6,8875.6
1989-06-30,20261.1,40149,8729.9
1989-09-30,20975.2,41551.9,10019.6
1989-12-31,22059.2,44565.5,12818.6
1990-03-31,23080.4,46605.8,10286.5
1990-06-30,24144,48736.8,11444.4
1990-09-30,25252.8,51674.2,14162.5
1990-12-31,26431.6,53338.5,13811.2
1991-03-31,27819.6,56630.7,14098.5
1991-06-30,29013.9,59174,13485.8
1991-09-30,30619.7,61789.6,14979
1991-12-31,32014,64640.2,16321.7
1992-03-31,32958,66471.4,15482.2
1992-06-30,34097.2,68848.2,14791
1992-09-30,34999.3,69984.3,16115.2
1992-12-31,36097,71868.7,18107.3
1993-03-31,37526.2,74303.4,17509.3
1993-06-30,38596.7,77795.7,18127.4
1993-09-30,39725.3,80024.1,22424.1
1993-12-31,41552.5,82637.2,23079.8
1994-03-31,44540.8,87513.6,20631.8
1994-06-30,45950.3,90959.7,22250.7
1994-09-30,47856.6,94350.7,23111.7
1994-12-31,49568.2,98730.7,25204.1
1995-03-31,52076.1,102842.2,24285.4
1995-06-30,54328.9,107583.9,24840.9
1995-09-30,56476.5,111965.1,25036.9
1995-12-31,58052.6,112993.7,29305.4
1996-03-31,60198.7,117549.5,27163.4
1996-06-30,62625.7,120623.2,23662.1
1996-09-30,64003.6,124321.2,28473.2
1996-12-31,66581,126635.4,25722.4
1997-03-31,67286,127860.2,20465.5
1997-06-30,69548,133015,20739.3
1997-09-30,71335.5,136984.1,22274
1997-12-31,72645.4,141231.5,22519.3
1998-03-31,65697.1,135609.4,22035.1
1998-06-30,65078,130682.7,20798.9
1998-09-30,66550.4,131472.6,22026
1998-12-31,68738.8,132497.5,20703
1999-03-31,71892.2,138355.9,22412.4
1999-06-30,73896.6,142087.6,21434
1999-09-30,77966.2,150117.8,24839.4
1999-12-31,81193.1,154368,28486.7
2000-03-31,84574.8,157980.4,24806.1
2000-06-30,85035,159548.1,26674.5
2000-09-30,87167.2,164048.1,26725
2000-12-31,89108.8,165697.6,28238.1
2001-03-31,90934.8,170804.8,30740.4
2001-06-30,94382.6,175558.4,27674.2
2001-09-30,96389.5,178189.1,33107.6
2001-12-31,98814.3,177684.1,32826.8
2002-03-31,102863.3,189182.7,33825.7
2002-06-30,105783,193954,33148.6
2002-09-30,107535.1,197102.8,36277.9
2002-12-31,108499.2,201589.3,37987.4
2003-03-31,108583.1,203800.5,38149.9
2003-06-30,108452.1,204918.6,37312.2
2003-09-30,108708.4,208935.2,38913.4
2003-12-31,110352.5,216789,40749
2004-03-31,110957.1,221875.2,38816.1
2004-06-30,111655.1,225079.9,42334.9
2004-09-30,113035.4,228295.9,41818.3
2004-12-31,113835.7,231613.7,38791.8
2005-03-31,116029.2,232537.1,42363.5
2005-06-30,118796.3,235336.8,40707.6
2005-09-30,120869.1,239058.9,39302
2005-12-31,122972.6,243752.6,43249
2006-03-31,123886.9,244863.3,45338.3
2006-06-30,126085.1,247283.8,43069.9
2006-09-30,127564.5,253580.5,43350.2
2006-12-31,129507,256937.2,51869.5
2007-03-31,131231.1,261487.5,50807.8
2007-06-30,134550.9,268814.8,50636.7
2007-09-30,136829.6,274922.4,51017.2
2007-12-31,139358,281672.7,56399
2008-03-31,142839,283494.6,49303.7
2008-06-30,144782.8,289734.4,52599.78
2008-09-30,146582.8,292564.2,58349.4
2008-12-31,143794.9,288716.5,64846.3
2009-03-31,143749.9,288433.8,71710.1
2009-06-30,148397,298603,65406.1
2009-09-30,150896.1,307756.4,66636.7
2009-12-31,153071.8,308686.6,67779.1
2010-03-31,155208.3,321411.3,72203.4
2010-06-30,158515.9,331090.9,73710.6
2010-09-30,160738.8,335393.8,73457.9
2010-12-31,163614.1,336690.9,74545.7
2011-03-31,166933.5,341102.6,78375.7
2011-06-30,169743.1,346205.8,79785.3
2011-09-30,172037.7,352060.5,76248
2011-12-31,173815,358165.9,80055.9
2012-03-31,174470.6,360691.7,95411.8
2012-06-30,176029.3,363744.7,90822.5
2012-09-30,177251.7,363206.2,94648.3
2012-12-31,178824.6,367527.7,88342
2013-03-31,178444.7,370611.3,98028.2
2013-06-30,179921.7,376456,101126.1
2013-09-30,181302.4,379192.4,101965.2
2013-12-31,183267.8,384125.1,104262
2014-03-31,185504.9,386859,104645.6
2014-06-30,185442.5,391679.2,108039.1
2014-09-30,187064.4,391971.9,111871.6
2014-12-31,188275.4,399983.2,116793.7
2015-03-31,188999.2,413164.1,123252.5
2015-06-30,189738.8,411613.9,125813.1
2015-09-30,191129.8,418085.3,131033.9
2015-12-31,194432,420343.3,131438.8
2016-03-31,195214.4,430596.1,135399.8
2016-06-30,197217.5,437545.6,137961.5
2016-09-30,198082.4,436444.7,144308.9
2016-12-31,199916.5,442557.1,143435.3
2017-03-31,200998.3,452053.8,152539.2
2017-06-30,203062.6,454437.5,149971.7
2017-09-30,207149.6,471103.1,161818.8
2017-12-31,207697.3,465586.5,155881
2018-03-31,211163.6,469982.1,163765.6
2018-06-30,213171,473743.9,167048.3
2018-09-30,215588,481850.1,177902.4
2018-12-31,217152.7,480261.4,172353.3
2019-03-31,218051.3,475548.1,180425.5
2019-06-30,220328.2,484309.4,183143.5
2019-09-30,221586.7,489917.9,186544
2019-12-31,224625.7,491332.6,191829.3
2020-03-31,212094.8,484685.8,194031.8
2020-06-30,215259.8,479309.9,220161.7
2020-09-30,217652.6,492957.8,216881
2020-12-31,215997.3,500716.4,221503.7
2021-03-31,220066.1,512627.5,234792.4
2021-06-30,229651.1,522034.4,242801.1
2021-09-30,230675.2,525746.6,251060.1
2021-12-31,236806.5,534312.8,248785.5
2022-03-31,237331.1,539189.3,265200.8
2022-06-30,248378,546261.6,283469.8
2022-09-30,255451,545986.1,279655.4
2022-12-31,255489.2,548212.6,275963.5
